id	year	buy	age	edu	income	exp	co	ad	prod
170	2013	0	2	2	2400	2500	19.1	2.17	2.41
171	2013	0	2	2	2500	2000	4.2	0.58	0.47
172	2013	0	3	1	7300	8600	14.3	3.73	6.71
173	2013	0	2	2	2500	1900	6.8	0.71	0.99
174	2013	0	2	1	1800	1400	6	0.53	0.55
175	2013	0	4	1	6900	5400	6.4	0.41	4.01
176	2013	1	2	3	2500	1800	13.8	1.98	1.47
177	2013	0	4	1	3000	2200	9.7	1.47	1.44
178	2013	0	3	1	6700	4500	13.2	3.74	5.1
179	2013	0	4	2	6600	5100	9.6	1.64	4.69
180	2013	1	2	1	1400	800	16.1	0.84	1.42
181	2013	0	5	1	4800	4400	7.6	1.47	2.17
182	2013	0	3	3	2500	2000	5.7	0.34	1.08
183	2013	0	3	4	12300	8000	17.3	3.02	18.26
184	2013	1	2	1	1700	1100	2.5	0.2	0.23
185	2013	0	3	2	2600	2400	3.1	0.03	0.78
186	2013	0	3	2	4900	5300	1.3	0.27	0.36
187	2013	1	2	3	8400	4500	13.6	6.91	4.51
188	2013	1	2	4	2500	1400	12.7	1.42	1.76
189	2013	0	4	1	9100	7800	13.7	0.57	11.89
190	2013	1	2	1	2200	1800	27.7	5.28	0.81
191	2013	0	4	2	7900	4000	7.3	0.29	5.48
192	2013	0	2	2	3600	2200	8.6	0.38	2.71
193	2013	0	3	1	1800	1600	13	0.13	2.21
194	2013	0	4	1	6200	4400	15	2.44	6.86
195	2013	0	3	1	5700	6000	5.5	1.36	1.78
196	2013	0	3	1	2400	2900	9.6	1.04	1.26
197	2013	0	4	3	7300	4500	5.4	2.22	1.72
198	2013	0	4	4	4700	4800	5	0.44	1.91
199	2013	1	2	1	2900	3200	25.7	2.53	4.93
200	2013	0	3	2	6400	3100	3	0.65	1.27
201	2013	0	4	2	12900	8900	2.5	0.55	2.67
202	2013	0	3	1	6000	2800	5.4	1.06	2.18
203	2013	1	2	2	3000	2600	4.8	0.12	1.32
204	2013	1	2	2	2200	1700	11.4	1.27	1.23
205	2013	0	4	2	6300	6100	15.4	4.64	5.06
206	2013	0	2	1	1900	1200	6.9	0.19	1.12
207	2013	0	3	1	4500	3400	7	0.54	2.61
208	2013	0	5	4	6100	2400	7.9	1.87	2.94
209	2013	0	5	3	10200	11400	14.1	5.78	8.6
210	2013	0	4	1	10000	8900	11.5	5.06	6.44
211	2013	1	2	2	2900	1500	13.3	2.15	1.71
212	2013	0	4	2	1900	2900	6.3	0.12	1.07
213	2013	0	4	1	1900	1200	4.4	0.24	0.59
214	2013	0	3	2	2500	2700	11.5	2.33	0.54
215	2013	0	5	1	3400	3100	6.8	0.3	2.01
216	2013	0	4	1	3700	2200	1.3	0.18	0.3
217	2013	0	4	1	6000	4500	2.1	0.32	0.94
218	2013	0	3	1	2400	1500	6.6	0.44	1.14
219	2013	0	5	1	2300	2100	12.5	0.14	2.73
220	2013	0	3	3	5400	5300	2.8	0.4	1.11
221	2013	0	2	2	2400	1100	6.3	0.55	0.96
222	2013	0	3	1	2000	1200	1.2	0.04	0.2
223	2013	1	3	1	3400	2400	11.1	1.37	2.4
224	2013	0	2	2	2000	1400	3.7	0.32	0.42
225	2013	1	4	1	3600	3000	2.1	0.39	0.37
226	2013	0	3	1	4800	4500	9.3	0.42	4.04
227	2013	0	3	1	4200	3400	3	0.09	1.17
228	2013	1	3	1	3300	1700	25.4	1.17	7.22
229	2013	0	3	1	1800	1100	10.7	0.23	1.7
230	2013	0	4	1	25300	14100	7.2	9.31	8.91
231	2013	1	5	1	2700	2900	28.9	2.75	5.05
232	2013	0	2	2	2100	1300	11.5	0.37	2.05
233	2013	0	3	1	3200	1900	7.6	0.49	1.94
234	2014	0	5	1	3100	2400	17.3	1.36	4
235	2014	0	4	1	12000	9600	2.9	2.66	0.82
236	2014	1	2	2	2800	1200	17.3	1.79	3.06
237	2014	0	3	1	2900	3100	16.3	1.72	3.01
238	2014	0	4	1	10000	9600	9.1	3.7	5.4
239	2014	0	4	3	2600	1700	1.7	0.1	0.34
240	2014	0	2	1	2600	1100	10	0.43	2.17
241	2014	0	5	1	2700	1500	9.8	0.4	2.24
242	2014	1	2	2	1600	1100	18	0.24	2.64
243	2014	0	4	2	6900	7400	6.7	0.71	3.92
244	2014	0	4	1	6400	4600	16.7	0.95	9.74
245	2014	0	2	3	3700	2500	14.2	0.2	5.05
246	2014	0	4	1	2000	2000	2.1	0.11	0.32
247	2014	0	3	2	2200	1500	16.1	1.41	2.13
248	2014	0	3	2	5400	4500	14.4	3.2	4.58
249	2014	1	2	2	2400	1700	17.1	1.34	2.77
250	2014	0	4	1	5000	2500	4.2	0.56	1.54
251	2014	0	2	1	3100	3000	6.6	0.34	1.71
252	2014	0	3	1	5900	3800	8	1.81	2.91
253	2014	1	2	1	1400	900	7.5	0.3	0.75
254	2014	0	2	2	1600	1300	6.8	0.15	0.94
255	2014	0	3	1	3500	3500	4.5	0.43	1.14
256	2014	0	3	1	4200	4500	7.4	0.21	2.9
257	2014	1	3	1	2500	1800	12.6	0.57	2.58
258	2014	0	4	1	2000	700	14	0.81	1.99
259	2014	1	4	1	5200	5500	12.9	3.03	3.68
260	2014	0	4	2	2800	900	9.5	0.55	2.11
261	2014	0	5	3	8000	7500	12.2	2.48	7.28
262	2014	1	3	2	7500	5600	23.3	7.76	9.72
263	2014	1	2	2	2300	1400	6.4	0.19	1.29
264	2014	1	2	1	2000	1900	18.6	0.57	3.15
265	2014	0	4	1	10000	8000	12.8	4.58	8.22
266	2014	0	5	1	3700	2100	2.6	0.2	0.76
267	2014	0	5	1	3900	3100	3.2	0.69	0.56
268	2014	0	3	4	2900	2800	11	1.84	1.35
269	2014	0	3	3	2900	1600	24.6	1.41	5.73
270	2014	1	2	1	1500	800	11.4	0.37	1.34
271	2014	0	3	1	5400	3800	4.4	0.73	1.65
272	2014	0	4	3	8200	4100	3.3	1.32	1.39
273	2014	0	3	1	2600	1700	8.3	0.03	2.13
274	2014	0	4	1	2800	2800	3.6	0.53	0.47
275	2014	0	3	2	6000	4300	7.9	1.72	3.02
276	2014	0	5	1	6400	7000	8.6	1.87	3.64
277	2014	1	3	2	2700	2400	12.8	1.09	2.37
278	2014	0	4	1	3700	2800	9.5	1.34	2.17
279	2014	1	3	4	2700	2500	35.3	1.98	7.55
280	2014	0	2	2	3600	2900	1.4	0.13	0.38
281	2014	0	2	1	2500	1700	9	0.37	1.88
282	2014	0	4	2	6800	4800	5.8	1.51	2.44
283	2014	0	3	1	6000	4000	13.7	2.45	5.77
284	2014	0	2	1	2400	1200	6.7	0.47	1.14
285	2014	1	2	1	4500	3500	17.8	2.85	5.16
286	2014	0	4	1	6800	4400	5.4	0.45	3.22
287	2014	0	3	4	2500	1900	10	1.77	0.73
288	2014	0	3	1	4400	3500	8	1.72	1.8
289	2014	0	4	2	5100	5600	18.1	1.55	7.68
290	2014	0	2	1	3000	1800	7.2	0.61	1.55
291	2014	1	3	1	2900	2100	13.8	1.35	2.65
292	2014	0	3	1	2600	2400	4.1	0.33	0.74
293	2014	1	4	2	10200	7900	18.9	6.23	13.05
294	2014	1	2	1	2400	1400	15.6	1.64	2.11
295	2014	0	3	1	2800	1900	11.3	0.29	2.87
296	2014	0	3	1	2400	2000	8.9	0.6	1.53
297	2014	0	4	3	8000	6100	3	0.91	1.49
298	2014	0	3	1	2700	2100	8	0.97	1.19
299	2014	0	2	1	5600	3900	16.9	4.64	4.83
300	2014	1	2	2	2200	1000	13.2	1.09	1.82
301	2014	0	3	1	3300	3500	4.2	0.5	0.89
302	2014	1	2	1	1800	1500	5.9	0.24	0.82
303	2014	0	3	4	2800	1900	4.3	0.38	0.83
304	2014	1	3	2	3200	1900	23.1	3.34	4.05
305	2014	0	2	1	1900	1600	4.1	0.26	0.52
306	2014	0	4	4	4500	3100	9.8	0.97	3.44
307	2014	0	3	1	2600	1600	6	0.54	1.02
308	2014	0	2	2	3000	2400	1	0.14	0.16
309	2014	0	2	2	3500	2900	1.9	0.09	0.58
310	2014	1	4	1	4800	2500	9	1.97	2.35
311	2014	1	3	3	3700	1800	5.4	0.58	1.42
312	2014	0	4	1	3500	3400	10.2	1.35	2.22
313	2014	1	2	2	3000	1900	4	0.45	0.75
314	2014	0	2	2	4400	2400	18.1	3.7	4.26
315	2014	0	4	3	6000	4700	15.3	1.61	7.57
316	2014	0	2	2	2800	1800	9.5	0.23	2.43
317	2014	0	3	1	3900	1900	9.5	2.06	1.65
318	2014	0	2	3	3500	2900	13.3	1.6	3.05
319	2014	0	3	1	3100	2300	23.7	2.06	5.29
320	2014	1	3	1	5200	4000	21.3	2.71	8.36
321	2014	0	3	2	10500	7300	1.9	1.42	0.58
322	2014	0	3	2	2100	1100	7.9	0.37	1.29
323	2014	0	5	3	8200	7100	4.4	2.6	1
324	2014	0	3	2	3300	3000	9.5	0.57	2.56
325	2014	0	3	2	7800	5100	5.4	2.16	2.06
326	2014	1	5	1	2400	1400	19.2	0.8	3.81
327	2014	0	3	1	2200	1300	6.4	0.63	0.78
328	2014	1	3	3	5900	5400	14.6	3.11	5.5
329	2014	1	3	1	3900	2200	24.7	4.37	5.26
330	2014	0	3	1	4100	3200	12.6	0.13	5.03
331	2014	0	2	2	2500	3000	10.4	0.57	2.03
332	2014	1	3	2	2200	2300	22.7	1.21	3.79
333	2014	0	5	2	15900	5400	2.8	1.07	3.38
334	2014	0	2	1	2100	1900	2.6	0.1	0.45
335	2014	1	3	1	4900	2700	9.8	3.24	1.57
336	2014	0	3	1	2000	1700	17.1	2.05	1.37
337	2014	1	2	2	2700	2500	5	0.55	0.8
338	2014	1	4	1	12900	7000	25.3	20.56	12.08
339	2014	0	4	2	5400	3300	9.6	0.62	4.56
340	2014	0	4	1	8100	5100	5.5	1.51	2.95
341	2014	0	5	1	1800	1200	1.2	0.07	0.15
342	2014	0	2	1	2500	1600	7.1	1.31	0.47
343	2014	0	3	1	5400	4100	12.1	4.59	1.94
344	2014	1	2	1	1400	1100	14.4	0.59	1.43
345	2014	0	3	4	2900	2700	11.1	1.07	2.15
346	2014	1	2	3	4000	3100	3.1	0.28	0.96
347	2014	0	3	1	2300	1800	12	0.76	2
348	2014	1	2	4	4100	2600	2.5	0.46	0.57
349	2014	0	3	1	3900	3500	8.2	0.77	2.42
350	2014	1	5	1	2800	1900	14.2	0.44	3.54
351	2014	0	3	2	1500	1000	6.5	0.35	0.62
352	2014	0	4	2	7400	4800	13.4	4.52	5.39
353	2014	1	3	1	1900	1400	16.6	0.62	2.53
354	2014	0	2	2	1900	1400	4.3	0.36	0.46
355	2014	1	4	3	5600	3200	14.5	0.37	7.75
356	2014	1	3	1	2200	1800	23.1	1.92	3.17
357	2014	0	2	1	2100	1800	18.1	1.11	2.69
358	2014	0	3	2	4700	3000	1.9	0.43	0.46
359	2014	0	3	5	2000	1600	8.1	0.73	0.89
360	2014	0	3	2	10100	7800	1.4	0.34	1.07
361	2014	0	2	1	1700	900	2.5	0.13	0.29
362	2014	0	3	4	4000	2200	6.4	0.95	1.61
363	2014	0	2	1	2100	1600	4.9	0.61	0.42
364	2014	0	3	1	6000	1900	4.8	0.8	2.08
365	2014	0	4	1	9500	5500	3.6	0.63	2.79
366	2014	1	2	3	1600	800	6.4	0.27	0.75
367	2014	0	3	1	4400	5100	3.1	0.53	0.84
368	2014	1	4	3	5200	3300	20.1	2.54	7.91
369	2014	0	2	2	3700	2700	8.3	1.12	1.95
370	2014	0	3	1	3400	3500	15.4	2.1	3.14
371	2014	0	3	1	3100	2600	4.8	0.18	1.3
372	2014	0	4	1	5100	4600	11.7	1.26	9.39
373	2014	1	4	1	2100	900	14.8	1.38	1.73
374	2014	0	4	1	2400	1600	7	0.76	0.92
375	2014	0	3	3	6100	3100	2.8	0.55	1.16
376	2014	1	2	4	3200	3000	18.4	0.82	5.07
377	2014	0	2	3	1700	2000	2.3	0.04	0.35
378	2014	0	4	1	6400	4800	6.6	0.79	3.43
379	2014	0	3	2	5300	5100	3.7	0.69	1.27
380	2014	0	3	1	7500	4700	18.9	3.13	11.04
381	2014	1	4	4	34600	10200	6.5	16.03	12.96
382	2014	0	5	1	5900	4500	15	4.67	4.18
383	2014	0	3	3	2300	2200	4.5	0.33	0.71
384	2014	0	4	1	2500	2400	10.2	1.63	0.92
385	2014	1	3	1	2200	1900	16.4	1.74	1.87
386	2014	0	3	3	3900	2900	12.9	2.56	2.47
387	2014	0	5	1	3900	2700	7.9	1.07	2.01
388	2014	1	3	4	3300	2300	16.1	2.69	2.62
389	2014	0	5	1	2600	1800	14.3	1.85	1.87
390	2014	0	3	1	2100	1700	4	0.28	0.56
391	2014	0	3	3	2800	2400	2.6	0.12	0.61
392	2014	0	3	2	3000	2700	5.8	0.6	1.14
393	2014	0	2	1	1600	1300	23.8	1.09	2.72
394	2014	1	4	3	22100	6000	17.6	15.79	23.1
395	2014	0	3	2	5900	3900	2.4	0.41	1.01
396	2014	0	5	2	7600	4700	7.7	0.99	4.86
397	2014	0	2	1	2200	1400	10.9	0.4	2
398	2014	0	5	2	16600	14500	11.5	0.82	18.27
399	2014	1	2	2	2600	1800	9.7	0.89	1.63
400	2014	0	3	1	3300	2300	7.3	0.78	1.63
401	2014	0	3	2	2500	1900	5.8	0.57	0.88
402	2014	0	5	2	6000	3600	1.1	0.47	0.19
403	2014	1	4	3	9100	7700	25.2	2.32	20.62
404	2014	1	3	3	6300	5800	16	5.72	4.36
405	2014	1	2	1	1600	1300	17.8	1.01	1.84
406	2014	0	3	2	9800	5300	7.2	2.94	4.12
407	2014	0	4	2	8600	7700	13	1.48	9.7
408	2014	1	4	2	3600	2700	19.5	4.51	2.51
409	2014	0	3	1	2300	1600	14.7	0.83	2.55
410	2014	0	5	1	8900	5800	4.7	0.4	3.79
411	2014	0	2	1	2000	1000	3.5	0.11	0.6
412	2014	0	2	2	1600	1400	14.7	0.57	1.78
413	2014	0	3	3	5200	4900	9.2	1.5	3.29
414	2014	0	3	1	2100	1200	8.3	0.73	1.01
415	2014	0	4	1	3200	1500	2.9	0.07	0.86
416	2014	0	2	2	4600	3700	1.6	0.24	0.49
417	2014	0	2	1	1900	1700	4.1	0.29	0.49
418	2014	0	3	1	3300	3200	4.2	0.15	1.24
419	2014	0	5	2	24900	17000	7.8	4.27	15.15
420	2014	0	2	1	3000	1200	8.2	0.15	2.31
421	2014	0	3	2	2700	2900	1.7	0.3	0.16
422	2014	0	2	1	3200	2200	4.7	0.13	1.38
423	2014	0	3	2	6800	2500	20.1	2.86	10.81
424	2014	1	3	1	1600	1700	28.5	0.89	3.67
425	2014	0	3	2	5300	3400	13.5	1.19	5.96
426	2014	1	3	2	2000	1700	21.7	0.17	4.17
427	2014	1	4	3	8600	7400	26.5	4.99	17.8
428	2014	1	3	1	2000	1800	3	0.26	0.34
429	2014	1	2	2	3500	2000	9	0.78	2.37
430	2014	0	4	1	4600	2500	6.2	0.97	1.89
431	2014	0	3	1	2200	1300	6.7	0.37	1.1
432	2014	0	3	3	2700	2400	2.2	0.13	0.47
433	2014	0	3	2	3200	2700	6.6	1.43	0.68
434	2014	0	4	3	11500	6000	4	0.65	3.95
435	2014	1	2	3	4200	3200	19.9	2.71	5.65
436	2014	0	5	1	11400	11800	8.5	3.29	6.4
437	2014	0	2	1	1700	1200	1.6	0.01	0.26
438	2014	1	2	1	1500	1200	11.3	0.07	1.62
439	2014	1	2	1	1700	1900	5.6	0.57	0.38
440	2014	0	3	2	3700	2100	4.5	0.83	0.83
441	2014	0	3	1	4000	2500	9.8	1.98	1.94
442	2014	1	2	4	1800	1600	33.4	2.8	3.21
443	2014	0	5	2	3800	2200	6.9	0.36	2.26
444	2014	1	5	2	2600	2100	6.1	0.54	1.05
445	2014	0	3	1	2000	1500	12.3	0.11	2.35
446	2014	0	3	1	3900	3100	5.7	0.22	2.01
447	2014	1	2	4	3400	1200	8.5	0.13	2.76
448	2014	1	2	2	4100	3100	25.1	5.9	4.39
449	2014	0	4	1	8300	5200	14	6.59	5.03
450	2014	0	4	2	7300	3400	6.8	2.87	2.09
451	2014	1	2	1	1800	2100	25.6	1.98	2.63
452	2014	0	3	1	3600	2000	4.7	0.62	1.07
453	2014	0	3	1	4300	2000	6.2	1.04	1.63
454	2014	1	4	2	2600	2800	19.2	1.47	3.52
455	2014	0	4	1	3100	800	13.8	1.62	2.66
456	2014	1	4	3	5500	3600	16.5	1.75	7.32
457	2014	0	3	3	3900	3100	10.4	1.6	2.45
458	2014	1	2	2	1800	900	5.1	0.45	0.47
459	2014	0	4	2	2900	1200	5.4	0.44	1.12
460	2014	0	3	1	4700	2900	10.9	2.86	2.26
461	2014	0	2	1	2100	800	19.8	1.02	3.14
462	2014	0	2	1	2200	1100	20.2	2.26	2.18
463	2014	1	4	1	13600	6800	23.1	14.23	17.18
464	2014	1	2	1	2100	1400	8.4	1.21	0.55
465	2014	1	3	1	4100	3600	30.7	3	9.59
466	2014	0	5	2	4400	3700	5.6	1.33	1.13
467	2014	0	2	2	2500	2400	2.9	0.34	0.39
468	2014	0	5	2	2800	1800	18.7	2.13	3.11
469	2014	1	2	3	2000	2000	9.4	0.23	1.65
470	2014	0	3	1	3500	3800	8	1.27	1.53
471	2014	0	3	1	7700	5600	10.6	5.5	2.66
472	2014	0	3	1	2300	1600	0.9	0.08	0.13
473	2014	0	3	1	2900	3200	4.9	0.26	1.16
474	2014	0	3	3	4300	3400	13	0.96	4.63
475	2014	0	2	1	1800	2100	12.8	0.58	1.72
476	2014	1	2	1	1400	1200	9.7	0.2	1.16
477	2014	0	3	3	2000	1500	7.9	0.85	0.73
478	2014	1	3	1	3300	2600	10.3	2.5	0.9
479	2014	0	2	2	1600	1000	7.3	0.02	1.14
480	2015	0	4	1	5500	2900	5.5	0.86	2.17
481	2015	0	4	1	3800	4300	3.6	0.13	1.24
482	2015	0	2	1	2300	1800	5.2	0.25	0.94
483	2015	0	5	1	6400	6000	10	3.93	2.47
484	2015	1	3	2	4900	3400	8.6	0.82	3.4
485	2015	0	4	1	7200	8300	7.6	1.18	4.29
